((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 128), ('LinearRegression', 5.750298963972621, 0.9568961981113303, 0.034016560455550765))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 129), ('LinearRegression', 8.422824940242801, 0.918874321587247, 0.0181583898409205))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 130), ('LinearRegression', 37.79663395919031, 0.9486417757749208, 0.011447572508782516))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 131), ('LinearRegression', 39.484717036579205, 0.8991489934083376, 0.13961666043326756))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 132), ('LinearRegression', 36.198129278083265, 0.9824307243587923, 0.012830117643594532))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 133), ('LinearRegression', 26.486869767767775, 0.9838942473923932, 0.013690420044350799))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 134), ('LinearRegression', 35.63716118947325, 0.9622826711697807, 0.07658717625643026))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 135), ('LinearRegression', 16.931534041529236, 0.9515148557238048, 0.019597126981459066))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 136), ('LinearRegression', 22.660387977195867, 0.9545009528814034, 0.09126488713110013))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 137), ('LinearRegression', 27.742989778990456, 0.9644863091548794, 0.015277192853141972))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 138), ('LinearRegression', 5.397095732186166, 0.9212860518132654, 0.015533410589746516))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 139), ('LinearRegression', -18.048330239348196, 0.9897626493786352, 0.06386885069913992))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 140), ('LinearRegression', 14.000395299818871, 0.9488932276728466, 0.11457275080291024))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 141), ('LinearRegression', 1.6614876934250833, 0.9051279989605662, 0.015711169676205842))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 142), ('LinearRegression', 14.858162219125077, 0.9057468584283777, 0.1442213306530024))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 143), ('LinearRegression', 342.3671314056218, 0.9431600699731271, 0.19927556286766407))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 144), ('LinearRegression', -0.6320231450894596, 0.9500381957079013, 0.026651569995641666))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 145), ('LinearRegression', 70.53780446314734, 0.9241378355999527, 0.046914473838592284))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 146), ('LinearRegression', 8.73920605475983, 0.9326045162419146, 0.05810656149847998))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 147), ('LinearRegression', 8.096897440433974, 0.9594446328538571, 0.0953875963498681))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 148), ('LinearRegression', 7.850562426944855, 0.9763560018605603, 0.09167852599863487))
