((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 3), (6.500704277148848, 0.8624107333869889, 9.294064834443596))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 4), (6.491575983930925, 0.9273669751993198, 5.521523476521199))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 5), (5.338863218260255, 0.9268003862912557, 4.487119688617333))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 6), (6.952302595794304, 0.9159813805123882, 5.534212246349451))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 7), (8.779763531242475, 0.89112163741039, 5.684594965989447))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 8), (12.323412514858516, 0.9549666584144718, 2.3001000842563193))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 9), (12.58952344948678, 0.9577405180438718, 5.714414648002511))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 10), (8.800257143795008, 0.9620201504411638, 5.581371198277628))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 11), (8.747900381891101, 0.9562462471815552, 3.9637229086808072))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 12), (7.9650544850347185, 0.9669595999123558, 3.358945861101604))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 13), (7.058882716989169, 0.9568060193702372, 1.5036130102637402))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 14), (4.729657375559284, 0.959313645390587, 1.5534065826639207))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 15), (4.8827019917458845, 0.9508330501967798, 3.1786420993715594))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 16), (5.8177165484369375, 0.953419514549654, 2.606990148054545))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 17), (4.554356807687658, 0.9590056284512213, 3.8240081246310265))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 18), (3.3551072081100055, 0.9606489096077669, 2.6465881073614255))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 19), (3.181800202257491, 0.9796095247767626, 2.819584907868871))
